Series ID,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020
CES0000000001,129790,129698,129879,130110,130650,130511,130427,130422,130357,130625,130750,130822,130841,131053,131288,131602,131703,131939,131999,132125,132358,132562,132694,132896,133250,133512,133752,133834,133934,134007,134159,134331,134518,134677,134833,135072,135263,135541,135680,135871,136093,136274,136386,136628,136815,137040,137304,137373,137548,137714,137968,138293,138511,138837,139069,139257,139566,139818,140109,140377,140568,140839,140910,141194,141525,141699,142001,142126,142281,142587,142824,143097,143170,143433,143662,143849,143891,144158,144512,144647,144916,145061,145212,145442,145627,145815,145944,146141,146296,146512,146727,146911,146929,147196,147421,147551,147672,148078,148254,148391,148669,148888,149024,149268,149348,149549,149683,149865,150134,150135,150282,150492,150577,150759,150953,151160,151368,151553,151814,151998,152212,152463(C),151090,130303,133028,137809,139570,141059(P),141720(P), , , 
CES0500000001,107299,107222,107361,107541,107654,107771,107858,108002,108110,108328,108463,108556,108583,108838,109096,109418,109574,109775,109950,110108,110375,110564,110723,110942,111304,111565,111809,111903,112023,112077,112246,112415,112593,112774,112950,113185,113394,113660,113810,114002,114229,114434,114571,114797,114980,115210,115461,115553,115734,115889,116135,116440,116679,116942,117168,117402,117669,117901,118177,118430,118608,118861,118940,119189,119513,119684,119951,120066,120241,120531,120743,121000,121052,121289,121482,121663,121694,121974,122227,122379,122613,122769,122922,123134,123325,123496,123619,123811,123964,124166,124368,124554,124563,124827,125028,125170,125317,125672,125850,125977,126238,126429,126562,126778,126859,127064,127197,127370,127628,127622,127754,127939,128026,128206,128366,128523,128718,128908,129155,129319,129498,129718(C),128362,108527,111763,116492,118018,119040(P),119917(P), , , 
CES0600000001,17707,17627,17672,17729,17742,17763,17777,17793,17787,17801,17827,17796,17784,17844,17906,17957,18007,18045,18094,18120,18167,18188,18187,18244,18304,18334,18372,18384,18386,18411,18447,18459,18461,18472,18477,18532,18580,18638,18660,18653,18691,18724,18705,18756,18810,18857,18911,18881,18937,18988,19037,19104,19142,19195,19264,19316,19371,19419,19456,19481,19500,19537,19505,19553,19580,19591,19626,19629,19641,19680,19711,19738,19730,19728,19716,19728,19689,19709,19757,19732,19762,19789,19808,19825,19865,19928,19964,19985,20007,20050,20056,20135,20161,20206,20273,20326,20371,20494,20530,20577,20648,20698,20739,20791,20834,20884,20897,20948,21023,20994,21011,21039,21050,21076,21085,21087,21106,21086,21131,21136,21149,21205,21086,18698,19374,19859,19925,19970(P),20063(P), , , 
CES1000000001,667,674,682,687,697,702,708,716,723,731,736,734,736,739,754,768,778,790,801,804,814,820,824,831,840,845,849,850,855,854,851,851,846,837,843,848,851,858,859,857,862,865,862,864,868,870,869,866,871,875,879,886,887,892,897,898,903,901,900,896,888,875,859,843,820,816,805,794,779,771,756,746,731,711,691,678,666,656,652,647,647,644,647,648,649,655,660,669,673,677,679,684,687,687,693,692,699,706,714,722,724,729,729,737,739,742,737,741,746,741,741,741,743,741,736,731,731,735,724,715,712,714,706,653,633,626,620,612(P),613(P), , , 
CES1011330001,48.1,49.5,50.3,51.0,50.9,50.7,50.7,50.8,49.9,49.5,48.7,48.0,49.0,49.8,50.8,48.5,48.0,47.8,48.6,48.2,48.5,47.2,49.1,49.9,50.4,49.8,49.6,48.4,51.2,51.2,51.2,51.3,51.6,51.7,51.1,51.4,50.7,51.1,51.3,52.0,52.1,52.0,50.4,51.4,52.0,52.1,53.2,52.3,52.8,51.6,51.9,50.9,50.9,51.5,51.7,52.4,52.3,52.0,52.8,52.1,52.9,52.6,52.7,52.6,52.4,52.1,52.6,53.1,52.3,52.3,51.4,51.8,51.7,52.4,52.2,51.0,51.1,51.6,51.1,50.5,50.4,50.7,50.3,50.3,49.5,50.2,49.5,50.5,50.0,50.0,49.3,48.7,48.8,48.5,49.3,49.6,50.3,50.4,50.2,50.7,50.1,48.8,49.5,49.0,48.9,48.5,47.7,49.0,50.3,48.6,49.1,48.6,49.5,49.8,50.2,51.5,51.5,54.0,53.7,53.2,53.8,54.5,54.5,50.5,51.2,51.3,51.2,50.5(P),50.6(P), , , 
CES1021000001,619.1,624.8,631.2,635.9,645.7,650.9,657.5,665.4,673.1,681.1,687.5,685.8,686.5,689.0,703.2,719.4,729.9,741.7,752.2,756.2,765.5,772.3,775.1,781.4,789.1,795.5,799.0,801.5,803.7,803.0,800.2,799.2,794.4,785.5,792.1,796.4,800.4,806.7,808.0,805.4,810.0,812.5,811.6,812.5,816.0,817.4,815.3,813.3,817.7,823.0,826.9,834.6,835.9,840.0,845.7,846.0,851.0,848.6,847.0,843.4,834.6,822.7,806.1,790.5,767.7,764.3,752.7,740.6,727.0,718.7,704.2,693.7,679.4,658.6,638.6,626.8,614.5,604.5,600.4,596.5,596.1,593.5,597.1,597.2,599.5,605.1,610.0,618.9,623.0,626.5,629.8,635.4,637.8,638.7,643.4,642.4,648.8,655.6,663.8,671.3,673.8,680.4,679.7,688.2,690.2,693.6,688.8,691.9,695.7,692.6,692.1,692.4,693.3,691.1,685.6,679.0,679.8,680.8,670.5,661.3,658.4,659.7,651.2,602.9,582.2,575.1,569.0,561.5(P),562.4(P), , , 
CES1021100001,156.5,156.4,156.7,157.6,158.7,158.1,158.4,159.7,160.2,161.5,161.4,161.0,162.7,164.2,166.7,169.6,170.4,171.2,172.7,173.9,176.5,178.0,178.7,180.3,181.3,182.4,184.8,185.5,186.6,188.2,188.7,189.3,189.3,189.1,189.7,191.6,193.2,194.5,193.7,194.3,193.5,192.9,193.1,193.5,193.3,192.6,193.5,193.2,193.9,195.5,193.3,195.2,196.7,198.1,198.5,198.1,198.8,200.8,200.7,200.6,198.8,197.3,196.5,194.7,194.2,193.9,194.5,193.5,192.5,189.9,188.7,187.7,187.0,185.0,182.3,178.3,174.5,169.7,166.5,164.6,161.0,158.5,157.1,153.1,149.6,148.1,144.5,144.9,143.8,143.0,142.2,141.9,143.6,142.2,141.5,139.9,141.3,140.9,142.8,142.8,142.9,143.2,142.9,142.4,141.3,141.3,141.8,141.4,142.4,143.6,143.9,146.1,147.8,149.6,149.9,152.3,154.3,155.8,155.9,157.9,155.8,156.6,156.4,155.4,153.5,153.6,155.2,156.0(P),156.9(P), , , 
CES1021200001,198.7,199.4,200.6,200.8,202.4,202.9,204.3,206.0,207.8,209.0,210.9,208.9,208.9,209.3,211.1,215.1,218.1,220.6,220.7,222.6,223.0,224.5,223.1,223.7,223.3,223.0,222.9,222.1,221.7,219.1,218.9,217.2,216.2,213.6,213.8,213.8,213.4,214.7,213.7,209.5,210.1,210.2,208.6,207.8,207.4,208.1,208.5,205.4,206.8,207.4,206.7,207.0,207.0,207.6,209.1,208.1,208.0,206.9,206.6,205.6,204.9,203.4,202.4,200.3,200.7,198.9,197.5,196.2,194.5,193.1,190.7,188.8,187.3,185.2,183.3,181.5,178.8,178.4,177.3,177.6,178.8,179.5,181.1,182.0,183.6,183.0,183.7,186.1,184.6,184.9,186.1,186.6,187.5,187.4,188.8,187.8,188.1,188.8,189.0,189.4,190.8,191.8,192.4,193.7,192.7,194.0,192.8,193.3,193.5,193.3,193.4,192.6,192.4,192.1,190.8,189.8,190.0,189.5,190.7,189.3,189.9,188.6,187.7,177.1,178.1,177.1,180.1,180.0(P),179.8(P), , , 
CES1021210001,77.8,78.6,79.1,79.2,80.3,80.2,80.9,81.2,82.0,82.7,83.4,84.0,83.9,83.1,84.4,86.0,87.6,88.3,87.8,88.6,89.3,89.5,89.6,89.4,89.7,89.3,88.9,87.9,87.6,85.8,84.6,83.0,81.6,79.4,79.1,78.9,78.4,79.3,79.6,78.1,78.6,78.8,78.4,78.0,77.2,77.2,77.0,76.7,76.1,75.2,73.7,73.8,74.1,74.1,74.4,73.2,72.7,71.3,70.7,69.9,69.0,68.8,68.1,67.0,66.0,64.9,63.9,62.8,61.6,60.4,58.9,57.2,55.6,53.6,52.2,51.0,49.9,49.2,48.9,48.9,48.9,49.6,50.4,50.5,50.9,51.0,51.2,51.6,51.6,51.6,51.6,51.9,52.3,52.0,51.5,50.8,51.0,51.1,50.9,51.8,51.9,52.0,52.0,51.6,51.4,51.5,51.8,52.1,52.1,52.1,52.2,51.5,51.9,51.9,51.3,52.2,52.2,52.0,52.2,51.1,51.1,50.4,49.3,41.9,44.5,44.0,45.9,45.4(P),44.5(P), , , 
CES1021220001,34.7,34.9,35.0,35.9,36.4,36.6,36.9,37.3,37.6,38.1,38.5,38.8,39.2,39.7,39.9,41.0,41.7,42.5,42.8,43.2,43.3,43.5,43.7,44.1,44.1,44.1,43.9,44.1,44.2,44.2,44.5,44.8,45.4,45.2,45.6,45.6,45.7,45.8,45.7,45.2,45.2,44.7,43.9,43.7,43.2,43.4,42.9,42.9,42.2,43.7,44.3,44.1,43.6,44.0,44.7,44.2,44.0,44.1,44.3,44.0,44.2,43.1,43.0,42.7,42.6,42.0,41.4,41.1,40.9,40.4,40.1,40.3,40.2,39.8,39.1,38.5,38.6,38.6,38.2,38.6,39.0,39.1,39.2,39.1,38.9,38.9,39.0,39.1,38.6,39.0,39.5,39.7,40.0,40.2,40.5,40.5,40.8,41.0,41.3,41.3,41.6,41.7,42.1,42.4,42.3,42.3,41.9,42.0,42.0,42.1,42.3,42.6,42.3,42.5,42.4,41.1,41.0,41.0,41.1,40.7,41.0,40.8,41.0,40.9,39.5,39.8,40.4,40.6(P),40.8(P), , , 
